06/04/2013 07:02:27 PM [INFO    ]: Loading includes/robot_standard.pop
06/04/2013 07:02:28 PM [INFO    ]: Loading includes/robot_giant.pop
06/04/2013 07:02:28 PM [INFO    ]: Loaded 59 templates.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[1]/WaveSpawn[5]/Randomchoice/TFBot[1]/Template:  Node duplicates value 'Medic', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[1]/WaveSpawn[5]/Randomchoice/TFBot[1]/Template:  Node duplicates value 'Uber Medic', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[1]/WaveSpawn[5]/Randomchoice/TFBot[1]/Template:  Node duplicates value 'SpawnWithFullCharge', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[2]/WaveSpawn[0]/Squad/TFBot[0]/Template:  Node duplicates value 'Heavyweapons', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[2]/WaveSpawn[0]/Squad/TFBot[0]/Template:  Node duplicates value 'Giant Heavy', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[2]/WaveSpawn[0]/Squad/TFBot[0]/Template:  Node duplicates value 'heavy_giant', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[3]/WaveSpawn[6]/Randomchoice/TFBot[1]/Template:  Node duplicates value 'Medic', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[3]/WaveSpawn[6]/Randomchoice/TFBot[1]/Template:  Node duplicates value 'Uber Medic', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[3]/WaveSpawn[6]/Randomchoice/TFBot[1]/Template:  Node duplicates value 'SpawnWithFullCharge', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[4]/WaveSpawn/TFBot/Template:  Node duplicates value 'Scout', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[4]/WaveSpawn/TFBot/Template:  Node duplicates value 'Giant Scout', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[5]/WaveSpawn[5]/Randomchoice/TFBot[1]/Template:  Node duplicates value 'Medic', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[5]/WaveSpawn[5]/Randomchoice/TFBot[1]/Template:  Node duplicates value 'Uber Medic', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[5]/WaveSpawn[5]/Randomchoice/TFBot[1]/Template:  Node duplicates value 'SpawnWithFullCharge', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[6]/WaveSpawn[7]/Randomchoice/TFBot[1]/Template:  Node duplicates value 'Medic', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[6]/WaveSpawn[7]/Randomchoice/TFBot[1]/Template:  Node duplicates value 'Uber Medic', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[6]/WaveSpawn[7]/Randomchoice/TFBot[1]/Template:  Node duplicates value 'SpawnWithFullCharge', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[8]/WaveSpawn[5]/Randomchoice/TFBot[1]/Template:  Node duplicates value 'Medic', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[8]/WaveSpawn[5]/Randomchoice/TFBot[1]/Template:  Node duplicates value 'Uber Medic', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[8]/WaveSpawn[5]/Randomchoice/TFBot[1]/Template:  Node duplicates value 'SpawnWithFullCharge', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[9]/WaveSpawn[5]/Randomchoice/TFBot[1]/Template:  Node duplicates value 'Medic', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[9]/WaveSpawn[5]/Randomchoice/TFBot[1]/Template:  Node duplicates value 'Uber Medic', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[9]/WaveSpawn[5]/Randomchoice/TFBot[1]/Template:  Node duplicates value 'SpawnWithFullCharge', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[9]/WaveSpawn[8]/Squad/TFBot[0]/Template:  Node duplicates value 'Heavyweapons', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[9]/WaveSpawn[8]/Squad/TFBot[0]/Template:  Node duplicates value 'Giant Heavy', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[9]/WaveSpawn[8]/Squad/TFBot[0]/Template:  Node duplicates value 'heavy_giant', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[9]/WaveSpawn[8]/Squad/TFBot[0]/Template:  Node duplicates value '5000', removing.
06/04/2013 07:02:28 PM [WARNING ]: mvm_coaltown_30wave.pop > WaveSchedule/Wave[9]/WaveSpawn[8]/Squad/TFBot[0]/Template:  Node duplicates value '1200', removing.
